Target,Predicted Label,Remarks,Sentences
1,GENERAL,लखेटनु पछ,दले देश सकेछन बेचे खान सुरू गरेछन दले लखेटनु पछ
1,GENERAL,ससकृती ध्वस्त पार्ने,नेपाल ससकृती ध्वस्त पार्ने योजना
1,GENERAL,भुमाफिया,मठ मन्दिर गुम्बा जग्गा हरु भुमाफिया नजर परे हुना विधेक
1,GENERAL,बेची सके,नेपाल कल कर्खाना नदि नाला बेची सके मठ मन्दीर बेची खाने नियत
1,GENERAL,कालोमोसो लगाएर भगउनु पर्छ,भणडारि लई कालोमोसो लगाएर भगउनु तर्क चै नदीने खालि
1,GENERAL,"झाेले , झन्डे",देश जमिन राज्य काे जनता रदेश घात हुदैन नेपाल जमिन झाेले झन्डे घात गरे अाफ्ने बनाउ छन
0,GENERAL,सनातन को सम्राट,सरकार बिदेशि डिजाइन सनातन सम्राट राजा लाइ हटाए सास्कृतिक मास्न सजिलो भनेर तिब्र रुप गणतन्त्र बड्दै
1,GENERAL,दलाल,याे भन्डारि दलाल लाइ ल्याएकाे
1,GENERAL,लुतेर खाने दाउ मा छ,साला नाके बाहुन गूठी बिदयेक पारित भु माफिया सग अरबौ रुपियाँ लुतेर खाने दाउ
1,GENERAL,हनुमान,बिस्नु पौडेल हनुमान
1,GENERAL,मुत खाको चोर,मुन मुत खाको चोर हरु गूठी सकेनन्
1,GENERAL,anti हिन्दु,गान्धी भारत हिन्दु हुदा नाथुराम गोद्से गन्धी गोलि हानी मरे
1,GENERAL,लुटि खान पल्के का,अन्तरबार्ता हेर्दा गुठी नाम लुटि खान पल्के सरकार नियमन हरहिसाब पारदर्शी खोज्दा खेरी निन्द्रा हराम गरे लागो
1,GENERAL,मुन का सन्तान,मुन बिर्यपान धर्म बेचे गुठि बिधेक ल्याएर भ मठ मन्दिर अनि देशै बेचेर खान्छन् मुन सन्तान हरु
1,GENERAL,कमिसन खोरी,कमिसन खोरी हरु खोजी रहे लाटा बुजे लाजमर्दो तर्क नगर चोर हरु
1,GENERAL,भिकारी,खान नपाए भिकारी परेछ्न बा की नराख्ने
1,GENERAL,पछि दगुर्ने हुन्,गुठी ब्यबस्थापन सम्बन्धी जनता लाइ थाहा होस काग कान लग्यो भन्दियो दगुर्ने
0,GENERAL,सहि छ,गुठी बिधयक सहि बुझ्न नसके
1,GENERAL,मुला,बन्जाडे मुला अलिक ठुलो नेता हरुलाइ लेउनु हौ
1,GENERAL,राक्षस,योगि नरहरिनाथ उहिल्यै घोषणा गरे रहेछ्न कलियुग अन्त राक्षस हरु ब्राह्मण कुल जन्म लिएर आउनेछ्न
1,GENERAL,राजा फाल्नेछ्न धर्म त्याग्नेछ्न,हरु राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात लिनेछ्न
1,GENERAL,राक्षस,आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता राज योगि नरहरिनाथ भबिस्यबाणी ठ्याक् कै मिले
1,GENERAL,भू माफिया,सोम मान्छे भू माफिया लाग्यो गुठि खान मान्छे गुठि जग्गा पूर्ण सरकार हुनु
0,GENERAL,सडक मा आउनुपर्छ,धर्म संस्कृत जोगाउन नेवार नभइ बाहुन छेत्री तामाङ छेत्र मान्छे सडक आउनुपर्छ
