Target,Predicted Label,Remarks,Sentences
1,GENERAL,लखेटनु पछ,दले देश सकेछन सबै बेचे खान सुरू गरेछन अब दले लाई लखेटनु पछ
1,GENERAL,ससकृती ध्वस्त पार्ने,नेपाल ससकृती ध्वस्त पार्ने योजना हो यो
1,GENERAL,भुमाफिया,मठ मन्दिर गुम्बा का जग्गा हरु भुमाफिया नजर परे हुना यो विधेक आए हो
1,GENERAL,बेची सके,नेपाल का कल कर्खाना नदि नाला बेची सके अब मठ मन्दीर लाई पनि बेची खाने नियत देखिन्छ
1,GENERAL,कालोमोसो लगाएर भगउनु पर्छ,यो भणडारि लई कालोमोसो लगाएर भगउनु पर्छ तर्क चै नदीने खालि राम्रो छ मात्र भन्ने
1,GENERAL,"झाेले , झन्डे",अन्य देश जमिन राज्य काे हुन्छ जनता रदेश घात हुदैन तर नेपाल जमिन झाेले झन्डे घात गरे अाफ्ने बनाउ छन
0,GENERAL,सनातन को सम्राट,सरकार बिदेशि डिजाइन छ सनातन सम्राट राजा लाइ हटाए पछि सास्कृतिक मास्न सजिलो हुन्छ भनेर तिब्र रुप अगाडि गणतन्त्र बड्दै छ
1,GENERAL,दलाल,याे भन्डारि दलाल लाइ किन ल्याएकाे
1,GENERAL,लुतेर खाने दाउ मा छ,यो साला नाके बाहुन गूठी बिदयेक पारित गरेर भु माफिया सग अरबौ रुपियाँ लुतेर खाने दाउ छ
1,GENERAL,हनुमान,यो बिस्नु पौडेल हनुमान हो
1,GENERAL,मुत खाको चोर,मुन मुत खाको चोर हरु लाई गूठी देखि सकेनन्
1,GENERAL,anti हिन्दु,गान्धी भारत हिन्दु हुदा नाथुराम गोद्से गन्धी लाई गोलि हानी मरे
1,GENERAL,लुटि खान पल्के का,यो अन्तरबार्ता हेर्दा त गुठी नाम लुटि खान पल्के का लाई सरकार नियमन गर्ने हरहिसाब पारदर्शी गर्न खोज्दा खेरी निन्द्रा हराम गरे जस्तो लागो
1,GENERAL,मुन का सन्तान,मुन बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु
