Target,Predicted Label,Remarks,Sentences,Cleaned
1,GENERAL,लखेटनु पछ,दले ले देश सकेछन सबै बेचे र खान सुरू गरेछन अब दले लाई लखेटनु पछ ।,देश सकेछन बेचे खान सुरू गरेछन लखेटनु
1,GENERAL,ससकृती ध्वस्त पार्ने,नेपाल को ससकृती ध्वस्त पार्ने योजना हो यो !,नेपाल ससकृती ध्वस्त पार्ने योजना
1,GENERAL,भुमाफिया,मठ मन्दिर गुम्बा का जग्गा हरु मा भुमाफिया को नजर परे को हुना ले यो विधेक आए को हो !,मठ मन्दिर गुम्बा जग्गा भुमाफिया नजर परे हुना विधेक
1,GENERAL,बेची सके,नेपाल का कल कर्खाना र नदि नाला बेची सके अब मठ मन्दीर लाई पनि बेची खाने नियत देखिन्छ ।,नेपाल कल कर्खाना नदि नाला बेची सके मठ मन्दीर बेची खाने नियत
1,GENERAL,कालोमोसो लगाएर भगउनु पर्छ,यो भणडारि लई कालोमोसो लगाएर भगउनु पर्छ तर्क चै नदीने खालि राम्रो छ मात्र भन्ने ।,भणडारि लई कालोमोसो लगाएर भगउनु तर्क चै खालि
1,GENERAL,"झाेले , झन्डे","अन्य देश मा जमिन राज्य काे हुन्छ , , जनता रदेश मा घात हुदैन , तर नेपाल मा , जमिन झाेले , झन्डे ले घात गरे अाफ्ने बनाउ छन ।",देश जमिन राज्य काे जनता रदेश घात हुदैन नेपाल जमिन झाेले झन्डे घात गरे अाफ्ने बनाउ छन
0,GENERAL,सनातन को सम्राट,सरकार बिदेशि को डिजाइन मा छ सनातन को सम्राट राजा लाइ हटाए पछि सास्कृतिक मास्न सजिलो हुन्छ भनेर तिब्र रुप मा अगाडि गणतन्त्र बड्दै छ ।,सरकार बिदेशि डिजाइन सनातन सम्राट राजा हटाए सास्कृतिक मास्न सजिलो भनेर तिब्र रुप गणतन्त्र बड्दै
1,GENERAL,दलाल,याे भन्डारि दलाल लाइ किन ल्याएकाे ।,याे भन्डारि दलाल ल्याएकाे
1,GENERAL,लुतेर खाने दाउ मा छ,यो साला नाके बाहुन गूठी बिदयेक पारित गरेर भु माफिया सग अरबौ रुपियाँ लुतेर खाने दाउ मा छ ।,साला नाके बाहुन गूठी बिदयेक पारित भु माफिया सग अरबौ रुपियाँ लुतेर खाने दाउ
1,GENERAL,हनुमान,यो बिस्नु पौडेल को हनुमान हो ।,पौडेल हनुमान
1,GENERAL,मुत खाको चोर,मुन को मुत खाको चोर हरु लाई गूठी देखि सकेनन् ।,मुन मुत खाको चोर गूठी सकेनन्
1,GENERAL,anti हिन्दु,गान्धी भारत मा anti हिन्दु हुदा नाथुराम गोद्से ले गन्धी लाई गोलि हानी मरे ।,गान्धी भारत हिन्दु नाथुराम गोद्से गन्धी गोलि हानी मरे
1,GENERAL,लुटि खान पल्के का,यो अन्तरबार्ता हेर्दा त गुठी को नाम मा लुटि खान पल्के का लाई सरकार ले नियमन गर्ने हरहिसाब पारदर्शी गर्न खोज्दा खेरी निन्द्रा हराम गरे जस्तो लागो ।,अन्तरबार्ता हेर्दा गुठी नाम लुटि खान पल्के सरकार नियमन हरहिसाब पारदर्शी खोज्दा खेरी निन्द्रा हराम गरे लागो
1,GENERAL,मुन का सन्तान,मुन को बिर्यपान गरेर धर्म बेचे अब गुठि बिधेक ल्याएर भ का मठ मन्दिर अनि देशै बेचेर खान्छन् यी मुन का सन्तान हरु ले ।,मुन बिर्यपान धर्म बेचे गुठि बिधेक ल्याएर मठ मन्दिर अनि देशै बेचेर खान्छन् मुन सन्तान
1,GENERAL,कमिसन खोरी,कमिसन खोरी हरु ले बाटो खोजी रहे को कुरा लाटा ले पनि बुजे को छ लाजमर्दो तर्क नगर चोर हरु ।,कमिसन खोरी खोजी रहे लाटा बुजे लाजमर्दो तर्क नगर चोर
1,GENERAL,भिकारी,खान नपाए का भिकारी परेछ्न बा की केही नराख्ने भए ?,खान नपाए भिकारी परेछ्न बा नराख्ने
1,GENERAL,पछि दगुर्ने हुन्,"गुठी ब्यबस्थापन सम्बन्धी कुरा जनता लाइ त कसरी थाहा होस , मात्र काग ले कान लग्यो भन्दियो कसै ले , पछि दगुर्ने हुन् ।",गुठी ब्यबस्थापन सम्बन्धी जनता थाहा होस काग कान लग्यो दगुर्ने
0,GENERAL,सहि छ,गुठी बिधयक सहि छ मात्र सबै ले बुझ्न नसके को हो ।,गुठी बिधयक सहि बुझ्न नसके
1,GENERAL,मुला,बन्जाडे मुला अलिक ठुलो नेता हरुलाइ लेउनु न हौ ।,बन्जाडे मुला अलिक ठुलो नेता लेउनु हौ
1,GENERAL,राक्षस,योगि नरहरिनाथ ले उहिल्यै घोषणा गरे का रहेछ्न----- कलियुग को अन्त तिर राक्षस हरु ब्राह्मण कुल मा जन्म लिएर आउनेछ्न ।,योगि नरहरिनाथ उहिल्यै घोषणा गरे रहेछ्न कलियुग अन्त राक्षस ब्राह्मण कुल जन्म लिएर आउनेछ्न
1,GENERAL,राजा फाल्नेछ्न धर्म त्याग्नेछ्न,तिनी हरु ले राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात मा लिनेछ्न ।,राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि शासनसत्ता हात लिनेछ्न
1,GENERAL,राक्षस,आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता को राज मा योगि नरहरिनाथ को भबिस्यबाणी ठ्याक् कै मिले को छ ।,राक्षस बाहुन प्रचन्डे बोकोहराम उखाने जस्ता राज योगि नरहरिनाथ भबिस्यबाणी ठ्याक् मिले
1,GENERAL,भू माफिया,यो सोम भन्ने मान्छे नै भू माफिया जस्तो लाग्यो ... गुठि खान आए को मान्छे ... गुठि जग्गा पूर्ण सरकार को हुनु पर्छ ... ।,सोम मान्छे भू माफिया लाग्यो गुठि खान मान्छे गुठि जग्गा पूर्ण सरकार
0,GENERAL,सडक मा आउनुपर्छ,धर्म संस्कृत जोगाउन नेवार मात्र नभइ बाहुन छेत्री तामाङ सबै छेत्र का मान्छे सडक मा आउनुपर्छ ।,धर्म संस्कृत जोगाउन नेवार नभइ बाहुन छेत्री तामाङ छेत्र मान्छे सडक आउनुपर्छ
1,GENERAL,देश ईसाईकरण गर्छ,"धर्म सस्कृति सबै सकेर देश ईसाईकरण गर्छ ने क पा ले अब सरकारि जग्गा त बचाउन नसकिएकाे अबश्था मा , ।",धर्म सस्कृति सकेर देश ईसाईकरण पा सरकारि जग्गा बचाउन नसकिएकाे अबश्था
1,GENERAL,कति ठुलाे बिटाे मिल्याे,छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू ?,छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू
1,GENERAL,भु माफिया को हनुमान,यो गुठी बिदयक मा बिष्णु पौडेल को हात छ यो पद् मा अर्याल भने को भु माफिया को हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ ।,गुठी बिदयक बिष्णु पौडेल हात पद् अर्याल भु माफिया हनुमान गद्दार आइमाई कालोमोसो दलेर जुत्ता माला लायर देश निकाला
1,GENERAL,खान नहुने वा रे वा,"जनता को नाम मा नेता ले खान हुने , किसानकाे नाम मा गुठी हामी ले खान नहुने वा रे वा , , ।",जनता नाम नेता खान किसानकाे नाम गुठी खान नहुने वा रे वा
1,GENERAL,रजाइ गर्ने,यस को बिरोध गर्ने हरु सबै नहोलान तर मुख्यपात्र हरु अहिले सम्म त्यही गुठी को चल अचल सम्पती माथी रजाइ गर्ने हरुनै हुन अब रजाइ गर्न नपाइने भो भनेर सडक मा आयर रोय का हुन यो हामी सबै ले बुझ्नु पर्छ ।,बिरोध नहोलान मुख्यपात्र अहिले त्यही गुठी चल अचल सम्पती माथी रजाइ हरुनै रजाइ नपाइने भो भनेर सडक आयर रोय बुझ्नु
